Optimal order: 3
Type,Order,Mean,Std
Train,0,-5.204010555814875e-11,2.1078448992314725e-13
Train,1,0.8485621816004405,0.0016061737087235588
Train,2,0.9206085045702788,0.0010063981160723066
Train,3,0.940410609319658,0.0007893554679702158
Train,4,0.9537073565805901,0.0005635509254532024
Train,5,0.9667448124212104,0.00048705064052354804
Test,0,-0.006149047748065506,0.010034562041796983
Test,1,0.8461825954804238,0.015155977986240545
Test,2,0.9166916458036795,0.008821133665698174
Test,3,0.9285132356664338,0.007592719070529611
Test,4,0.92337836139006,0.00694737467254067
Test,5,0.8959919221000734,0.008718569163324953
