Optimal order: 3
Type,Order,Mean,Std
Train,0,-9.006377865716786e-11,8.459332810206443e-13
Train,1,0.8053108903670607,0.0017041204997079542
Train,2,0.8923261912010695,0.0013042637528446765
Train,3,0.9129234368572108,0.0011861824768767714
Train,4,0.9278436555347691,0.0009176820164523478
Train,5,0.9475467569658423,0.0007858224687523827
Test,0,-0.0017107912037482632,0.0016092107103812497
Test,1,0.8030411767138628,0.015179602421222307
Test,2,0.8869665466608911,0.011805330523928188
Test,3,0.8969616032974781,0.012131922305599622
Test,4,0.8821700866568085,0.012323156789935806
Test,5,0.835555903498791,0.019291603095230064
