sample_name,first_replicate,second_replicate,Pearson-r
IL4,0,1,0.9643494709421535
IL4,1,2,0.957924357584189
IL4,0,2,0.9483785090379271
IL5,0,1,0.9434631758246139
IL5,1,2,0.940098029034334
IL5,0,2,0.9346003002266716
IL6,0,1,0.9171200359140722
IL6,1,2,0.9309895264281771
IL6,0,2,0.9026905958420899
IL7,0,1,0.8977178408503398
IL7,1,2,0.9033365565333245
IL7,0,2,0.898304013940217
IL8,0,1,0.9121024251191324
IL8,1,2,0.9158430415137949
IL8,0,2,0.9195735225014453
IL9,0,1,0.9183068132756929
IL9,1,2,0.9176505388926017
IL9,0,2,0.9218249777393438
IL10,0,1,0.8896010734569605
IL10,1,2,0.8899622093728277
IL10,0,2,0.897581686931307
