experiment_id,measurement_id,replicate,receptor_concentration_nM,measured_anisotropy_value,outlier
30,1745,1,0.0,41.0,False
30,1746,2,0.0,43.0,False
30,1747,3,0.0,41.0,False
30,1748,1,1.0,42.0,False
30,1749,2,1.0,44.0,False
30,1750,3,1.0,41.0,False
30,1751,1,3.0,41.0,False
30,1752,2,3.0,41.0,False
30,1753,3,3.0,43.0,False
30,1754,1,6.0,39.0,False
30,1755,2,6.0,42.0,False
30,1756,3,6.0,38.0,False
30,1757,1,12.0,41.0,False
30,1758,2,12.0,43.0,False
30,1759,3,12.0,42.0,False
30,1760,1,25.0,47.0,False
30,1761,2,25.0,45.0,False
30,1762,3,25.0,48.0,False
30,1763,1,50.0,52.0,False
30,1764,2,50.0,54.0,False
30,1765,3,50.0,51.0,False
30,1766,1,100.0,62.0,False
30,1767,2,100.0,62.0,False
30,1768,3,100.0,61.0,False
30,1769,1,200.0,77.0,False
30,1770,2,200.0,77.0,False
30,1771,3,200.0,76.0,False
30,1772,1,400.0,97.0,False
30,1773,2,400.0,95.0,False
30,1774,3,400.0,97.0,False
30,1775,1,800.0,115.0,False
30,1776,2,800.0,113.0,False
30,1777,3,800.0,113.0,False
30,1778,1,1600.0,133.0,False
30,1779,2,1600.0,135.0,False
30,1780,3,1600.0,133.0,False
30,1781,1,3200.0,140.0,False
30,1782,2,3200.0,142.0,False
30,1783,3,3200.0,143.0,False
30,1784,1,6400.0,149.0,False
30,1785,2,6400.0,145.0,False
30,1786,3,6400.0,149.0,False
30,1787,1,12800.0,151.0,False
30,1788,2,12800.0,151.0,False
30,1789,3,12800.0,150.0,False
30,1790,1,25600.0,155.0,False
30,1791,2,25600.0,154.0,False
30,1792,3,25600.0,153.0,False
32,2099,1,0.0,46.0,False
32,2100,2,0.0,41.0,False
32,2101,3,0.0,43.0,False
32,2102,1,0.1,43.0,False
32,2103,2,0.1,42.0,False
32,2104,3,0.1,43.0,False
32,2105,1,0.25,42.0,False
32,2106,2,0.25,43.0,False
32,2107,3,0.25,42.0,False
32,2108,1,0.5,42.0,False
32,2109,2,0.5,45.0,False
32,2110,3,0.5,43.0,False
32,2111,1,1.0,43.0,False
32,2112,2,1.0,45.0,False
32,2113,3,1.0,65.0,True
32,2114,1,3.0,49.0,False
32,2115,2,3.0,48.0,False
32,2116,3,3.0,49.0,False
32,2117,1,6.0,54.0,False
32,2118,2,6.0,54.0,False
32,2119,3,6.0,56.0,False
32,2120,1,12.0,65.0,False
32,2121,2,12.0,66.0,False
32,2122,3,12.0,64.0,False
32,2123,1,25.0,92.0,False
32,2124,2,25.0,91.0,False
32,2125,3,25.0,88.0,False
32,2126,1,50.0,105.0,False
32,2127,2,50.0,104.0,False
32,2128,3,50.0,108.0,False
32,2129,1,100.0,118.0,False
32,2130,2,100.0,119.0,False
32,2131,3,100.0,116.0,False
32,2132,1,200.0,127.0,False
32,2133,2,200.0,129.0,False
32,2134,3,200.0,124.0,False
32,2135,1,400.0,130.0,False
32,2136,2,400.0,131.0,False
32,2137,3,400.0,133.0,False
32,2138,1,800.0,133.0,False
32,2139,2,800.0,131.0,False
32,2140,3,800.0,131.0,False
32,2141,1,1600.0,131.0,False
32,2142,2,1600.0,132.0,False
32,2143,3,1600.0,133.0,False
32,2144,1,3200.0,136.0,False
32,2145,2,3200.0,133.0,False
32,2146,3,3200.0,132.0,False
32,2147,1,6400.0,136.0,False
32,2148,2,6400.0,134.0,False
32,2149,3,6400.0,135.0,False
32,2150,1,12800.0,131.0,False
32,2151,2,12800.0,135.0,False
32,2152,3,12800.0,132.0,False
32,2153,1,25600.0,135.0,False
32,2154,2,25600.0,136.0,False
32,2155,3,25600.0,134.0,False
34,2213,1,0.0,44.0,False
34,2214,2,0.0,46.0,False
34,2215,3,0.0,45.0,False
34,2216,1,1.0,45.0,False
34,2217,2,1.0,46.0,False
34,2218,3,1.0,45.0,False
34,2219,1,3.0,46.0,False
34,2220,2,3.0,46.0,False
34,2221,3,3.0,44.0,False
34,2222,1,6.0,46.0,False
34,2223,2,6.0,45.0,False
34,2224,3,6.0,45.0,False
34,2225,1,12.0,43.0,False
34,2226,2,12.0,45.0,False
34,2227,3,12.0,44.0,False
34,2228,1,25.0,44.0,False
34,2229,2,25.0,45.0,False
34,2230,3,25.0,47.0,False
34,2231,1,50.0,46.0,False
34,2232,2,50.0,45.0,False
34,2233,3,50.0,44.0,False
34,2234,1,100.0,47.0,False
34,2235,2,100.0,47.0,False
34,2236,3,100.0,48.0,False
34,2237,1,200.0,48.0,False
34,2238,2,200.0,51.0,False
34,2239,3,200.0,52.0,False
34,2240,1,400.0,55.0,False
34,2241,2,400.0,55.0,False
34,2242,3,400.0,55.0,False
34,2243,1,800.0,60.0,False
34,2244,2,800.0,60.0,False
34,2245,3,800.0,59.0,False
34,2246,1,1600.0,67.0,False
34,2247,2,1600.0,66.0,False
34,2248,3,1600.0,68.0,False
34,2249,1,3200.0,73.0,False
34,2250,2,3200.0,73.0,False
