"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
200,20.03,7.44410110617102,"A"
200,20.5,7.43004624026094,"A"
200,21.02,7.41449416088894,"A"
200,21.53,7.39923870624089,"A"
200,22.01,7.38487798186827,"A"
200,22.54,7.36901778341853,"A"
200,23.03,7.35435061640411,"A"
200,23.53,7.33937943576091,"A"
200,24.01,7.32500182657452,"A"
200,24.54,7.30911940340181,"A"
200,25.06,7.29352795701087,"A"
200,25.64,7.27612525519301,"A"
200,26.01,7.2650155614433,"A"
200,26.56,7.24848754745523,"A"
200,27.01,7.2349504924066,"A"
200,27.54,7.21898746117643,"A"
200,28.01,7.20481091059346,"A"
200,28.6,7.18698195827779,"A"
200,29.02,7.17426387525475,"A"
200,29.54,7.15848177510895,"A"
200,30.02,7.14387240196108,"A"
200,30.56,7.12738069128769,"A"
200,31.03,7.11296975877944,"A"
200,31.55,7.09695259085455,"A"
200,32.03,7.08208740157755,"A"
200,32.57,7.06525533085231,"A"
200,33.01,7.05144058496371,"A"
200,33.54,7.03466010709368,"A"
200,34.02,7.01930833160074,"A"
200,34.54,7.00248212270859,"A"
200,35.04,6.98607839579462,"A"
200,35.53,6.96975177479303,"A"
200,36,6.9538190452648,"A"
200,36.59,6.93337329168084,"A"
200,37.03,6.91774800835116,"A"
200,37.54,6.89916273458396,"A"
200,38.04,6.88036693583467,"A"
200,38.53,6.86130188464168,"A"
200,39.06,6.83983939713842,"A"
200,39.54,6.81952199081178,"A"
200,40.03,6.79777652025044,"A"
200,40.52,6.77485407639714,"A"
200,41.07,6.74748923410699,"A"
200,41.52,6.72360700875824,"A"
200,42.05,6.69347449369497,"A"
200,42.53,6.66402551811677,"A"
200,43.05,6.62943602282594,"A"
200,43.53,6.59464936858859,"A"
200,44.04,6.55422074467336,"A"
200,44.52,6.5124270483574,"A"
200,45.03,6.46345781262469,"A"
200,45.54,6.40910779384246,"A"
200,46.03,6.35110189858902,"A"
200,46.53,6.28526524400146,"A"
200,47.03,6.21183045464767,"A"
200,47.54,6.12809340432889,"A"
200,48.07,6.03043527763522,"A"
200,48.53,5.93587385795719,"A"
200,49.05,5.81681737942306,"A"
200,49.52,5.69703471354241,"A"
200,50.04,5.54981134275043,"A"
200,50.59,5.37591571334847,"A"
200,51.04,5.21878498357916,"A"
200,51.58,5.01161397405188,"A"
200,52.05,4.81416251046266,"A"
200,52.57,4.57674140918732,"A"
200,53.03,4.35011242655472,"A"
200,53.54,4.08105449153998,"A"
200,54.01,3.81733518288733,"A"
200,54.54,3.5033299307314,"A"
200,55.03,3.19928852479668,"A"
200,55.53,2.87789747217459,"A"
200,56.01,2.56143532621965,"A"
200,56.53,2.21319792991947,"A"
200,57,1.89675241280238,"A"
200,57.56,1.52180954699628,"A"
200,58.03,1.21222053287596,"A"
200,58.54,0.884849726182349,"A"
200,59.03,0.58147311706113,"A"
200,59.55,0.274069730790751,"A"
200,60.04,1.99681085804441e-05,"A"
200,60.58,-0.282837174085135,"A"
200,61.01,-0.492992662239049,"A"
200,61.53,-0.728874197058377,"A"
200,62.04,-0.940829045684535,"A"
200,62.56,-1.13759686413691,"A"
200,63.04,-1.30255669471216,"A"
200,63.53,-1.45530533948532,"A"
200,64.04,-1.59857850517156,"A"
200,64.48,-1.71025423076136,"A"
200,65.07,-1.84419654202126,"A"
200,65.53,-1.93727336281166,"A"
200,66.05,-2.03185131039467,"A"
200,66.52,-2.10872779209551,"A"
200,67.05,-2.18689766506144,"A"
200,67.52,-2.24972534625491,"A"
200,68.06,-2.31562216879308,"A"
200,68.51,-2.36633275980796,"A"
200,69.05,-2.42328218914363,"A"
200,69.52,-2.47033178213045,"A"
200,70.11,-2.52743693225634,"A"
200,70.51,-2.56570352807854,"A"
200,71.04,-2.61689376757987,"A"
200,71.52,-2.66472115529501,"A"
200,72.05,-2.72039659558695,"A"
200,72.52,-2.77340041794095,"A"
200,73.02,-2.83477882622633,"A"
200,73.53,-2.90408504788484,"A"
200,74.02,-2.97849413830083,"A"
