"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,19.99,-16.8634501492719,"A"
222,20.47,-16.8415777008182,"A"
222,21,-16.8174268722701,"A"
222,21.45,-16.796921451757,"A"
222,21.96,-16.7736819751096,"A"
222,22.48,-16.7499868223606,"A"
222,22.97,-16.7276586975527,"A"
222,23.51,-16.7030521925194,"A"
222,24,-16.6807240674209,"A"
222,24.48,-16.6588516181612,"A"
222,24.97,-16.6365234926453,"A"
222,25.5,-16.6123726626828,"A"
222,25.97,-16.5909558885968,"A"
222,26.46,-16.5686277619966,"A"
222,26.99,-16.544476930583,"A"
222,27.51,-16.5207817744824,"A"
222,27.96,-16.5002763501958,"A"
222,28.49,-16.4761255160683,"A"
222,28.97,-16.4542530612893,"A"
222,29.48,-16.4310135765117,"A"
222,29.98,-16.4082297659774,"A"
222,30.46,-16.3863573056672,"A"
222,30.95,-16.3640291663938,"A"
222,31.5,-16.3389669652526,"A"
222,31.94,-16.3189172006293,"A"
222,32.49,-16.2938549891539,"A"
222,32.94,-16.2733495376996,"A"
222,33.42,-16.2514770492691,"A"
222,33.97,-16.2264148123202,"A"
222,34.49,-16.2027195936793,"A"
222,34.97,-16.1808470706397,"A"
222,35.47,-16.1580631756767,"A"
222,35.94,-16.136646295534,"A"
222,36.46,-16.112950998015,"A"
222,36.99,-16.0887999876348,"A"
222,37.47,-16.0669273383196,"A"
222,37.94,-16.0455103289498,"A"
222,38.47,-16.0213591755057,"A"
222,38.95,-15.9994863689181,"A"
222,39.47,-15.9757907452442,"A"
222,39.99,-15.9520950166064,"A"
222,40.44,-15.9315889953488,"A"
222,41.04,-15.9042474537242,"A"
222,41.47,-15.8846525298971,"A"
222,42.02,-15.8595890293737,"A"
222,42.49,-15.8381708881543,"A"
222,42.97,-15.8162967659269,"A"
222,43.47,-15.7935108670667,"A"
222,43.96,-15.7711802648651,"A"
222,44.44,-15.7493049046546,"A"
222,44.96,-15.7256059478264,"A"
222,45.49,-15.7014504028518,"A"
222,45.98,-15.6791170088822,"A"
222,46.42,-15.659061644367,"A"
222,46.99,-15.6330793317925,"A"
222,47.51,-15.6093743928678,"A"
222,48,-15.5870351713577,"A"
222,48.49,-15.5646937720414,"A"
222,48.98,-15.5423497765065,"A"
222,49.46,-15.5204587853648,"A"
222,49.99,-15.4962833661256,"A"
222,50.5,-15.4730153430329,"A"
222,51,-15.4501979799409,"A"
222,51.47,-15.4287436690803,"A"
222,51.99,-15.4049989295242,"A"
222,52.47,-15.3830717895778,"A"
222,52.97,-15.3602201768515,"A"
222,53.45,-15.3382702974542,"A"
222,53.99,-15.3135594634554,"A"
222,54.45,-15.2924924370188,"A"
222,54.99,-15.2677376775191,"A"
222,55.52,-15.2434114164934,"A"
222,55.94,-15.2241090570884,"A"
222,56.49,-15.1987925883864,"A"
222,56.95,-15.1775782769496,"A"
222,57.47,-15.1535440234324,"A"
222,57.95,-15.1312998578653,"A"
222,58.45,-15.1080579337018,"A"
222,58.96,-15.0842630705208,"A"
222,59.48,-15.0598929685838,"A"
