"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,19.99,-15.4094361787791,"A"
222,20.45,-15.3955722186617,"A"
222,20.99,-15.3792971350456,"A"
222,21.48,-15.3645290036161,"A"
222,22,-15.3488567008746,"A"
222,22.5,-15.3337871790078,"A"
222,22.97,-15.3196218284529,"A"
222,23.46,-15.3048536970233,"A"
222,23.97,-15.289482784719,"A"
222,24.48,-15.2741118724145,"A"
222,24.98,-15.2590423505473,"A"
222,25.46,-15.2445756095546,"A"
222,25.98,-15.2289033068123,"A"
222,26.45,-15.2147379562565,"A"
222,26.97,-15.1990656535135,"A"
222,27.45,-15.1845989125195,"A"
222,27.98,-15.1686252193378,"A"
222,28.49,-15.15325430703,"A"
222,29.03,-15.1369792234086,"A"
222,29.49,-15.1231152632851,"A"
222,30.02,-15.1071415700971,"A"
222,30.48,-15.0932776099692,"A"
222,31.03,-15.0767011358989,"A"
222,31.47,-15.0634399566385,"A"
222,31.98,-15.0480690443076,"A"
222,32.47,-15.0333009128443,"A"
222,33.01,-15.0170258291785,"A"
222,33.47,-15.0031618690053,"A"
222,34.01,-14.986886785303,"A"
222,34.43,-14.9742283868478,"A"
222,35.03,-14.9561449604429,"A"
222,35.47,-14.9428837810402,"A"
222,35.99,-14.9272114780533,"A"
222,36.47,-14.9127447367644,"A"
222,36.98,-14.8973738240486,"A"
222,37.48,-14.8823043016525,"A"
222,38.03,-14.8657278268277,"A"
222,38.49,-14.8518638658666,"A"
222,38.94,-14.8383012951356,"A"
222,39.48,-14.8220262098786,"A"
222,40.04,-14.8051483431122,"A"
222,40.49,-14.79158577105,"A"
222,41,-14.7762148552711,"A"
222,41.45,-14.762652281653,"A"
222,42.02,-14.7454730202092,"A"
222,42.47,-14.731910443834,"A"
222,43.02,-14.7153339591684,"A"
222,43.47,-14.7017713782619,"A"
222,43.97,-14.6867018404604,"A"
222,44.44,-14.6725364707032,"A"
222,44.99,-14.6559599674602,"A"
222,45.46,-14.6417945845877,"A"
222,45.96,-14.6267250187232,"A"
222,46.43,-14.6125596153149,"A"
222,46.99,-14.5956816690772,"A"
222,47.46,-14.5815162297096,"A"
222,47.95,-14.5667479804661,"A"
222,48.48,-14.5507741227828,"A"
222,49,-14.5351016104084,"A"
222,49.44,-14.5218402062059,"A"
222,49.95,-14.5064689637916,"A"
222,50.47,-14.4907962270032,"A"
222,50.95,-14.4763289738071,"A"
222,51.49,-14.4600531497523,"A"
222,51.96,-14.4458869748433,"A"
222,52.48,-14.4302135106583,"A"
222,53,-14.4145397126899,"A"
222,53.47,-14.4003726454234,"A"
222,53.98,-14.38499937228,"A"
222,54.47,-14.3702283560533,"A"
222,54.97,-14.3551551010904,"A"
222,55.47,-14.3400808376015,"A"
222,56.03,-14.3231961318182,"A"
222,56.47,-14.309928143122,"A"
222,57,-14.2939441205119,"A"
222,57.49,-14.2791638427567,"A"
222,57.98,-14.2643804130605,"A"
222,58.49,-14.2489893624255,"A"
222,58.96,-14.2348006782414,"A"
222,59.47,-14.2193979320622,"A"
222,60.01,-14.2030798082169,"A"
222,60.42,-14.1906821150546,"A"
222,60.97,-14.1740374235389,"A"
222,61.47,-14.158888946957,"A"
222,62.02,-14.1422018864868,"A"
222,62.5,-14.1276130444632,"A"
222,62.99,-14.1126893682364,"A"
222,63.45,-14.0986441928916,"A"
222,64.02,-14.0811810142039,"A"
222,64.45,-14.0679530052688,"A"
222,65.05,-14.0493968214671,"A"
222,65.47,-14.0363228924651,"A"
222,66.04,-14.0184388633527,"A"
222,66.44,-14.005769913378,"A"
222,66.96,-13.9891182284937,"A"
222,67.47,-13.97254029985,"A"
222,68.01,-13.9546529229189,"A"
222,68.44,-13.9401048100266,"A"
222,68.97,-13.9217123949673,"A"
222,69.5,-13.9026891127264,"A"
222,69.97,-13.8851630486388,"A"
222,70.51,-13.8640787561043,"A"
222,70.91,-13.8476636414131,"A"
222,71.47,-13.8232755293434,"A"
222,71.95,-13.8007739559485,"A"
222,72.46,-13.7748652840713,"A"
222,72.98,-13.7458387779351,"A"
222,73.48,-13.7148730768782,"A"
222,73.99,-13.6795043802425,"A"
222,74.47,-13.6419736840176,"A"
222,74.96,-13.5985299941416,"A"
222,75.48,-13.5455912612377,"A"
222,75.97,-13.4879771333735,"A"
222,76.44,-13.4243352004152,"A"
222,76.98,-13.3392353225175,"A"
222,77.48,-13.2470506673418,"A"
222,77.97,-13.1422188934553,"A"
222,78.41,-13.0342262146103,"A"
222,79,-12.8663070528635,"A"
222,79.48,-12.7082432920505,"A"
222,79.97,-12.5255970070599,"A"
222,80.49,-12.3074263061001,"A"
222,80.95,-12.0936217220091,"A"
222,81.5,-11.8137523111548,"A"
222,82.02,-11.5277810466176,"A"
222,82.49,-11.2551349781952,"A"
222,82.99,-10.9551887881433,"A"
222,83.45,-10.6751869346359,"A"
222,83.97,-10.3603080125961,"A"
222,84.45,-10.0769764549748,"A"
222,84.96,-9.78932265131104,"A"
222,85.48,-9.51515478736961,"A"
222,85.98,-9.27318821117087,"A"
222,86.45,-9.06690037479074,"A"
222,86.98,-8.85966133846475,"A"
222,87.45,-8.6981222769347,"A"
222,87.98,-8.53985190307707,"A"
222,88.42,-8.42634707762466,"A"
222,88.98,-8.30310709401043,"A"
222,89.46,-8.21431106936919,"A"
222,90.03,-8.12635121344166,"A"
222,90.44,-8.07325515474952,"A"
222,90.99,-8.01341589898762,"A"
222,91.48,-7.96947175986666,"A"
222,92,-7.93090544475293,"A"
222,92.47,-7.90204357680257,"A"
222,93.02,-7.87426432531911,"A"
222,93.45,-7.85630759331888,"A"
222,93.99,-7.83761855035009,"A"
222,94.44,-7.82478561170675,"A"
222,94.99,-7.81187790595478,"A"
222,95.46,-7.8028493488795,"A"
222,95.93,-7.79533984615489,"A"
222,96.46,-7.78837646174111,"A"
222,96.96,-7.78300910991327,"A"
