"wavelength_(nm)","temperature_(°C)","CD_signal_value_fit","legend"
222,19.98,-17.5763956953285,"A"
222,20.43,-17.5547419267514,"A"
222,20.99,-17.5277950147421,"A"
222,21.51,-17.502772882159,"A"
222,21.95,-17.4816003084319,"A"
222,22.53,-17.4536910066954,"A"
222,22.95,-17.4334808226746,"A"
222,23.49,-17.4074963003546,"A"
222,23.99,-17.3834365574562,"A"
222,24.48,-17.3598580094043,"A"
222,24.97,-17.3362794613381,"A"
222,25.47,-17.3122197183945,"A"
222,25.97,-17.2881599754268,"A"
222,26.47,-17.2641002324285,"A"
222,27,-17.2385969048076,"A"
222,27.45,-17.2169431360292,"A"
222,27.96,-17.1924021980191,"A"
222,28.51,-17.1659364804646,"A"
222,28.99,-17.1428391268624,"A"
222,29.5,-17.1182981885302,"A"
222,29.96,-17.0961632244002,"A"
222,30.47,-17.0716222857073,"A"
222,30.95,-17.0485249314017,"A"
222,31.48,-17.023021602345,"A"
222,31.96,-16.9999242473353,"A"
222,32.49,-16.9744209172969,"A"
222,32.98,-16.95084236624,"A"
222,33.47,-16.9272638144044,"A"
222,33.95,-16.9041664565619,"A"
222,34.48,-16.8786631225845,"A"
222,35,-16.8536409818402,"A"
222,35.49,-16.8300624241432,"A"
222,35.99,-16.8060026688888,"A"
222,36.45,-16.7838676912837,"A"
222,36.96,-16.7593267339884,"A"
222,37.47,-16.7347857716311,"A"
222,38,-16.7092824118478,"A"
222,38.48,-16.6861850219827,"A"
222,38.98,-16.662125231515,"A"
222,39.47,-16.6385466253681,"A"
222,40.01,-16.6125620225317,"A"
222,40.48,-16.5899457766585,"A"
222,40.96,-16.5668483132394,"A"
222,41.47,-16.5423072298783,"A"
222,41.97,-16.5182473089282,"A"
222,42.49,-16.4932249449597,"A"
222,43,-16.4686837233754,"A"
222,43.47,-16.446067241702,"A"
222,44.01,-16.4200822570604,"A"
222,44.45,-16.3989092184846,"A"
222,45,-16.3724427821551,"A"
222,45.46,-16.3503070727073,"A"
222,45.99,-16.3248026832239,"A"
222,46.48,-16.3012229160629,"A"
222,46.98,-16.277161638845,"A"
222,47.44,-16.255024947122,"A"
222,47.96,-16.2300004122559,"A"
222,48.46,-16.2059378087616,"A"
222,48.97,-16.1813932667766,"A"
222,49.48,-16.1568478709893,"A"
222,49.97,-16.1332640514367,"A"
222,50.47,-16.1091977049399,"A"
222,50.96,-16.0856112184369,"A"
222,51.45,-16.0620229580636,"A"
222,51.95,-16.0379510720453,"A"
222,52.48,-16.0124318517994,"A"
222,52.96,-15.9893168211326,"A"
222,53.48,-15.9642712172068,"A"
222,53.99,-15.9397019221057,"A"
222,54.46,-15.917053921862,"A"
222,54.95,-15.8934350964839,"A"
222,55.47,-15.8683606089651,"A"
222,55.97,-15.8442391420153,"A"
222,56.48,-15.8196211987557,"A"
222,56.97,-15.7959524127242,"A"
222,57.48,-15.7712969646637,"A"
222,57.98,-15.7471001886194,"A"
222,58.45,-15.7243281496518,"A"
222,58.98,-15.6986108530836,"A"
222,59.46,-15.6752774667573,"A"
222,59.96,-15.650920052315,"A"
222,60.44,-15.6274770153723,"A"
222,60.99,-15.6005275088379,"A"
222,61.46,-15.5774081814532,"A"
222,62,-15.550721205157,"A"
222,62.48,-15.5268647849649,"A"
222,62.98,-15.5018512946792,"A"
222,63.45,-15.4781567678488,"A"
222,63.97,-15.4516942994212,"A"
222,64.46,-15.4264728704525,"A"
222,64.98,-15.3993410347185,"A"
222,65.45,-15.374428767206,"A"
222,65.96,-15.3468938146518,"A"
222,66.48,-15.318172161901,"A"
222,66.97,-15.2903888420134,"A"
222,67.49,-15.2599870506382,"A"
222,67.98,-15.2303041127198,"A"
222,68.51,-15.196839319616,"A"
222,68.96,-15.1671068448043,"A"
222,69.47,-15.1316655922389,"A"
222,69.95,-15.0963063579432,"A"
222,70.54,-15.049650076112,"A"
222,70.94,-15.0156505403404,"A"
222,71.45,-14.9690164630757,"A"
222,71.98,-14.9159749977885,"A"
222,72.47,-14.8620329662972,"A"
222,72.97,-14.8012804467347,"A"
222,73.42,-14.7408770952023,"A"
222,74,-14.6536855154603,"A"
222,74.45,-14.5776714186695,"A"
222,74.97,-14.4793219075823,"A"
222,75.48,-14.3703978131216,"A"
222,75.96,-14.2551204032556,"A"
222,76.45,-14.1231800584774,"A"
