Params: 	79
Performance: 	0.9204465502446793
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	1.762783581128319
1	0.3784629578567029	0.002949333599793857	0.0	0.3683768220598205	0.38854909365358536
2	-0.129346108478908	0.002949333599793856	0.0	-0.13943224427579048	-0.11925997268202555
3	0.12428032810055042	0.0029493335997938554	1.126e-321	0.11419419230366797	0.1343664638974329
4	-0.09220062004277363	0.0029493335997938554	3.2168961730596243e-192	-0.10228675583965609	-0.08211448424589117
5	0.0941376245904985	0.0029493335997938554	1.9186731052086852e-199	0.08405148879361604	0.10422376038738096
6	0.07141726252757831	0.0029493335997938554	4.99991344347926e-121	0.06133112673069585	0.08150339832446077
7	0.2113589091997179	0.0029493335997938562	0.0	0.20127277340283542	0.22144504499660037
8	0.34228182275664165	0.002949333599793856	0.0	0.3321956869597592	0.3523679585535241
9	-0.02356279839943555	0.002949333599793856	1.7592770258162513e-15	-0.03364893419631801	-0.013476662602553088
10	-0.08045681707896994	0.0029493335997938554	1.7761632496894862e-150	-0.0905429528758524	-0.07037068128208748
11	-0.026297688984107982	0.0029493335997938554	7.166190957198956e-19	-0.03638382478099044	-0.016211553187225523
12	-0.07253506913721872	0.002949333599793856	1.5663213883011588e-124	-0.08262120493410118	-0.06244893334033626
1,2	-0.01891371672436405	0.002949333599793856	1.5933579498215606e-10	-0.02899985252124651	-0.008827580927481586
1,3	0.023612251387547717	0.0029493335997938554	1.5386454056789774e-15	0.013526115590665256	0.033698387184430176
1,4	-0.02243513714805426	0.002949333599793856	3.4770200506867746e-14	-0.03252127294493672	-0.012349001351171798
1,5	0.022281182370705845	0.0029493335997938554	5.17001716067772e-14	0.012195046573823384	0.0323673181675883
1,6	0.04328464206894266	0.0029493335997938554	1.5301137472361204e-47	0.0331985062720602	0.05337077786582512
1,7	0.04716817215300724	0.0029493335997938554	7.35180952535837e-56	0.03708203635612478	0.0572543079498897
1,8	0.10429895962620556	0.002949333599793856	9.826451339504308e-239	0.0942128238293231	0.11438509542308802
1,9	-0.02951005352189838	0.0029493335997938554	2.690989656540747e-23	-0.03959618931878084	-0.01942391772501592
1,10	-0.016109641311082903	0.0029493335997938554	4.989372843566e-08	-0.026195777107965362	-0.006023505514200443
1,11	-0.013530786965748736	0.0029493335997938554	4.617269562821755e-06	-0.023616922762631196	-0.003444651168866275
1,12	-0.003462627196154781	0.0029493335997938554	0.24044974686650086	-0.013548762993037242	0.00662350860072768
2,3	-0.0037724519844272823	0.0029493335997938554	0.20094057537915785	-0.013858587781309743	0.006313683812455178
2,4	-0.004029805313116503	0.0029493335997938554	0.17190738274411146	-0.014115941109998965	0.006056330483765957
2,5	-0.00310915069451657	0.0029493335997938554	0.2918604712464688	-0.01319528649139903	0.006976985102365891
2,6	0.003863868416314772	0.0029493335997938554	0.1902430572830004	-0.0062222673805676885	0.013950004213197233
2,7	-0.012316707834539503	0.0029493335997938554	3.0284414787474967e-05	-0.022402843631421962	-0.0022305720376570425
2,8	-0.0278163595219737	0.0029493335997938554	6.645771006049426e-21	-0.03790249531885616	-0.01773022372509124
2,9	-0.008495243207037702	0.0029493335997938554	0.003992807971592415	-0.018581379003920165	0.001590892589844758
2,10	-0.0049828792777586815	0.0029493335997938554	0.09120253997341213	-0.015069015074641142	0.005103256519123779
2,11	-0.013119611593997969	0.0029493335997938554	8.888205196592794e-06	-0.02320574739088043	-0.003033475797115508
2,12	-0.005264540559646859	0.002949333599793856	0.07433784629925053	-0.01535067635652932	0.004821595237235603
3,4	-0.015254953624708365	0.0029493335997938554	2.4245622441710033e-07	-0.025341089421590825	-0.005168817827825904
3,5	0.013981615363764431	0.0029493335997938554	2.2046711619349056e-06	0.0038954795668819705	0.02406775116064689
3,6	-0.00013256451502342143	0.0029493335997938554	0.9641515672168561	-0.010218700311905882	0.00995357128185904
3,7	0.03142051289667629	0.0029493335997938554	3.7430737006968595e-26	0.021334377099793835	0.04150664869355875
3,8	0.016911898486206965	0.0029493335997938554	1.0521274364487341e-08	0.006825762689324505	0.026998034283089424
3,9	0.04716057629798799	0.0029493335997938554	7.643204980325909e-56	0.03707444050110553	0.05724671209487045
3,10	-0.02103363924484953	0.0029493335997938554	1.1705986525510502e-12	-0.031119775041731988	-0.010947503447967069
3,11	-0.01664616122364332	0.002949333599793856	1.775648259576429e-08	-0.02673229702052578	-0.006560025426760856
3,12	-0.00871972215312036	0.0029493335997938554	0.003129574061606751	-0.01880585795000282	0.0013664136437621013
4,5	0.006122620661913644	0.0029493335997938554	0.03796355751487564	-0.003963515134968816	0.016208756458796103
4,6	-0.011475291613514946	0.0029493335997938554	0.00010152912354255878	-0.021561427410397405	-0.0013891558166324851
4,7	-0.001518836331580814	0.0029493335997938554	0.606598052035697	-0.011604972128463275	0.008567299465301647
4,8	-0.026528216060855057	0.0029493335997938554	3.577756727913903e-19	-0.036614351857737516	-0.0164420802639726
4,9	0.005884023535734813	0.0029493335997938554	0.04610651452234555	-0.004202112261147648	0.01597015933261727
4,10	-0.0057317834981183355	0.0029493335997938554	0.05203561579707884	-0.015817919295000794	0.004354352298764125
4,11	-0.018083409605998246	0.0029493335997938554	9.553233018803436e-10	-0.028169545402880705	-0.007997273809115786
4,12	-0.011138140928084562	0.0029493335997938554	0.0001613520622881071	-0.021224276724967024	-0.0010520051312021012
5,6	-0.00584408407052629	0.0029493335997938554	0.04760407574870996	-0.01593021986740875	0.004242051726356171
5,7	0.0020379602365970147	0.0029493335997938554	0.48961170710954893	-0.008048175560285446	0.012124096033479475
5,8	0.017732568510446703	0.0029493335997938554	1.99069485451353e-09	0.007646432713564242	0.027818704307329162
5,9	-0.0041321142419752915	0.002949333599793856	0.16128139700660268	-0.014218250038857754	0.005954021554907171
5,10	0.0009704348885953822	0.0029493335997938554	0.7421461538300502	-0.009115700908287078	0.011056570685477843
5,11	0.0070735954601148215	0.0029493335997938554	0.016513526044880777	-0.003012540336767639	0.017159731256997282
5,12	0.0017677471409991152	0.0029493335997938554	0.5489588359183037	-0.008318388655883345	0.011853882937881576
6,7	0.005209451579155765	0.0029493335997938554	0.07741898923924258	-0.004876684217726695	0.015295587376038226
6,8	0.020139911908594918	0.0029493335997938554	9.86115795530587e-12	0.010053776111712457	0.030226047705477377
6,9	-0.001734216477761539	0.0029493335997938554	0.5565634531585859	-0.011820352274644	0.008351919319120922
6,10	-0.015042508808984218	0.002949333599793856	3.5474993352057697e-07	-0.025128644605866682	-0.004956373012101755
6,11	-0.005719292061023852	0.0029493335997938554	0.05254922458503698	-0.015805427857906312	0.004366843735858609
6,12	-0.003568131370181947	0.002949333599793856	0.2264232468052374	-0.013654267167064409	0.006518004426700515
7,8	0.011922913436182653	0.0029493335997938554	5.385719422850507e-05	0.0018367776393001922	0.02200904923306511
7,9	0.005320819755966796	0.0029493335997938554	0.07129439065419976	-0.004765316040915664	0.015406955552849256
7,10	-0.005310816026071864	0.0029493335997938554	0.07182777814909884	-0.015396951822954325	0.004775319770810597
7,11	-0.00911208268163259	0.0029493335997938554	0.002018379964417586	-0.01919821847851505	0.0009740531152498712
7,12	0.022514938789424017	0.0029493335997938554	2.827910530775859e-14	0.012428802992541557	0.032601074586306476
8,9	0.008883797380064968	0.002949333599793856	0.002610317903436616	-0.0012023384168174944	0.01896993317694743
8,10	-0.020880380838132716	0.0029493335997938554	1.6974500077509752e-12	-0.03096651663501518	-0.010794245041250256
8,11	-0.013562894957519117	0.0029493335997938554	4.38367606032779e-06	-0.023649030754401577	-0.003476759160636656
8,12	-0.051121016580244455	0.0029493335997938554	5.793897836226859e-65	-0.061207152377126914	-0.041034880783361996
9,10	0.009688965336846126	0.0029493335997938554	0.0010280722518974438	-0.0003971704600363342	0.019775101133728587
9,11	0.01033461175706064	0.002949333599793856	0.0004632398327041103	0.000248475960178178	0.020420747553943103
9,12	0.002497685341573519	0.002949333599793856	0.397121210584392	-0.007588450455308943	0.012583821138455981
10,11	-0.019731661981226317	0.0029493335997938554	2.5359760319026467e-11	-0.02981779777810878	-0.009645526184343856
10,12	-0.007598614188232246	0.0029493335997938554	0.010019378137474687	-0.017684749985114705	0.0024875216086502148
11,12	-0.010316805908249734	0.0029493335997938554	0.000473820883613468	-0.020402941705132197	-0.00023067011136727357
