 	count
00000000000000	203
00000000000001	170
00000000000010	206
00000000000011	182
00000000000100	221
00000000000101	235
00000000000110	202
00000000000111	253
00000000001000	227
00000000001001	335
00000000001010	127
00000000001011	278
00000000001100	220
00000000001101	254
00000000001110	174
00000000001111	275
00000000010000	71
00000000010001	214
00000000010010	109
00000000010011	224
00000000010100	118
00000000010101	260
00000000010110	97
00000000010111	193
00000000011000	143
00000000011001	222
00000000011010	135
00000000011011	174
00000000011100	121
00000000011101	186
00000000011110	145
00000000011111	207
00000000100000	200
00000000100001	385
00000000100010	200
00000000100011	293
00000000100100	260
00000000100101	298
00000000100110	180
00000000100111	278
00000000101000	282
00000000101001	361
00000000101010	217
00000000101011	285
00000000101100	239
00000000101101	265
00000000101110	210
00000000101111	219
00000000110000	154
00000000110001	234
00000000110010	118
00000000110011	177
00000000110100	136
00000000110101	266
00000000110110	69
00000000110111	177
00000000111000	211
00000000111001	319
00000000111010	165
00000000111011	223
00000000111100	207
00000000111101	253
00000000111110	168
00000000111111	194
00000001000000	147
00000001000001	175
00000001000010	108
00000001000011	232
00000001000100	85
00000001000101	224
00000001000110	125
00000001000111	199
00000001001000	154
00000001001001	224
00000001001010	131
00000001001011	181
00000001001100	131
00000001001101	215
00000001001110	141
00000001001111	157
00000001010000	65
00000001010001	173
00000001010010	53
00000001010011	126
00000001010100	36
00000001010101	133
00000001010110	60
00000001010111	123
00000001011000	77
00000001011001	188
00000001011010	94
00000001011011	161
00000001011100	96
00000001011101	203
00000001011110	84
00000001011111	157
00000001100000	142
00000001100001	226
00000001100010	149
00000001100011	233
00000001100100	150
00000001100101	263
00000001100110	127
00000001100111	201
00000001101000	184
00000001101001	337
00000001101010	162
00000001101011	157
00000001101100	139
00000001101101	231
00000001101110	159
00000001101111	190
00000001110000	74
00000001110001	234
00000001110010	51
00000001110011	175
00000001110100	75
00000001110101	210
00000001110110	98
00000001110111	186
00000001111000	103
00000001111001	246
00000001111010	104
00000001111011	205
00000001111100	103
00000001111101	210
00000001111110	95
00000001111111	177
00000010000000	136
00000010000001	193
00000010000010	100
00000010000011	199
00000010000100	170
00000010000101	231
00000010000110	166
00000010000111	205
00000010001000	195
00000010001001	278
00000010001010	119
00000010001011	196
00000010001100	150
00000010001101	201
00000010001110	189
00000010001111	173
00000010010000	98
00000010010001	189
00000010010010	62
00000010010011	156
00000010010100	82
00000010010101	210
00000010010110	62
00000010010111	187
00000010011000	84
00000010011001	250
00000010011010	94
00000010011011	157
00000010011100	94
00000010011101	160
00000010011110	73
00000010011111	206
00000010100000	238
00000010100001	385
00000010100010	152
00000010100011	225
00000010100100	249
00000010100101	411
00000010100110	157
00000010100111	186
00000010101000	249
00000010101001	328
00000010101010	157
00000010101011	234
00000010101100	200
00000010101101	348
00000010101110	157
00000010101111	255
00000010110000	117
00000010110001	214
00000010110010	71
00000010110011	153
00000010110100	108
00000010110101	187
00000010110110	66
00000010110111	128
00000010111000	186
00000010111001	314
00000010111010	111
00000010111011	202
00000010111100	205
00000010111101	323
00000010111110	122
00000010111111	209
00000011000000	109
00000011000001	256
00000011000010	77
00000011000011	173
00000011000100	129
00000011000101	227
00000011000110	159
00000011000111	167
00000011001000	117
00000011001001	227
00000011001010	138
00000011001011	180
00000011001100	154
00000011001101	247
00000011001110	93
00000011001111	165
00000011010000	55
00000011010001	114
00000011010010	62
00000011010011	157
00000011010100	66
00000011010101	179
00000011010110	70
00000011010111	164
00000011011000	89
00000011011001	111
00000011011010	83
00000011011011	104
00000011011100	109
00000011011101	218
00000011011110	100
00000011011111	141
00000011100000	167
00000011100001	204
00000011100010	120
00000011100011	165
00000011100100	134
00000011100101	246
00000011100110	126
00000011100111	184
00000011101000	221
00000011101001	255
00000011101010	146
00000011101011	206
00000011101100	131
00000011101101	220
00000011101110	125
00000011101111	182
00000011110000	76
00000011110001	188
00000011110010	71
00000011110011	126
00000011110100	79
00000011110101	207
00000011110110	74
00000011110111	192
00000011111000	174
00000011111001	202
00000011111010	93
00000011111011	196
00000011111100	130
00000011111101	237
00000011111110	131
00000011111111	185
00000100000000	182
00000100000001	210
00000100000010	117
00000100000011	120
00000100000100	188
00000100000101	292
00000100000110	178
00000100000111	241
00000100001000	242
00000100001001	123
00000100001010	163
00000100001011	159
00000100001100	200
00000100001101	153
00000100001110	160
00000100001111	145
00000100010000	82
00000100010001	126
00000100010010	63
00000100010011	125
00000100010100	85
